film,naslov,leto,opis,trajanje,ocena_kritikov,oznaka,igralci,reziserji,zanri,drzave,teme,oznake
402,Men Cry Bullets,1998,"Tamara Hernandez made her feature directorial debut with this role-reversal drama depicting a man on the receiving end of an abusive relationship. Cruel novelist Gloria (Honey Lauren) likes rough sex, and she finds fearful Billy (Steven Nelson), a female impersonator wannabe, in a grungy nightclub. After Gloria takes him home and rapes him, Billy falls in love with her. Her attractive cousin Lydia (Jeri Lynn Ryan) visits, and Gloria gets upset to find that her pet pig has been converted into an evening meal by Lydia. Worse, Gloria begins to suspect Billy has taken a fancy to Lydia. Shown at Austin's 1998 South By Southwest Filmfest.",105,6,NR,"['Steven Nelson', 'Honey Lauren', 'Jeri Ryan', 'Harry Ralston', 'Michael Mangiamele', 'Sabrina Bertacini', 'Trish Elliott', 'Hugh Bogan']",['Tamara Hernandez'],['Comedy Drama'],['United States'],"['Domestic Abuse', 'Gender-Bending', 'Love Triangles']","['Adult Humor', 'Adult Situations', 'Profanity', 'Rape & Sexual Abuse', 'Violence']"
403,Man of the West,1958,"Anthony Mann's final foray into the western genre is a disturbing examination of man's baser instincts, rising in intensity to the level of Shakespearean tragedy. The film begins as seemingly naive Link (Gary Cooper) leaves his family to take a train to Fort Worth. Also on the train is saloon singer Billie Ellis (Julie London), who is compelled by con man Sam Beasley (Arthur O'Connell) to cheat Link out of his money. But the con comes to naught when the nefarious Dock Tobin (Lee J. Cobb) and his gang rob the train. Link takes Billie and Beasley to Tobin's cabin, where it is revealed the mild-mannered Link is Tobin's nephew and a former member of his cutthroat gang. Dock Tobin draws up a plan to rob a bank which the outlaws find agreeable, but they're reluctant to have Link rejoin their group. Soon it becomes apparent why they feel this way; when Link rejoins his old gang, his shy demeanor falls away and his outlaw instincts rise to the surface.",100,8,NR,"['Gary Cooper', 'Julie London', 'Lee J. Cobb', ""Arthur O'Connell"", 'Jack Lord', 'John Dehner', 'Royal Dano', 'Bob Wilke', 'Jack Williams', 'Guy Wilkerson', 'Chuck Roberson', 'Frank Ferguson', 'Emory Parnell', 'Tina Menard', 'Joe Dominguez', 'Robert J. Wilke', 'Dick Elliott', 'Herman Hack', 'Signe Hack', 'Anne Kunde', 'Tom London', 'Glen Walters', 'Ann Kunde', 'Robert Wilke', 'Chuck Robertson']",['Anthony Mann'],"['Western', 'Action', 'Adventure', 'Drama']",['United States'],"['Cons and Scams', 'Obsessive Quests', 'Out For Revenge']",['Not For Children']
404,27 Down Bombay-Varanasi Express,1974,"Sanjay (Raakhee), the young man in this film, reminisces about his life during a pilgrimage journey to Benares while he is on the train from Bombay. Given a love of railroads early in his life by his father, when family circumstances force him to abandon his quest to become an artist, he is quite happy to support the family as a train conductor. This film is noteworthy for accurate and humorous images which accurately depict everyday life in India.",115,6,NR,"['Raakhee', 'M.K. Raina']",['Awtar Krishna Kaul'],['Comedy Drama'],['India'],['Haunted By the Past'],[]
405,Saving Private Ryan,1998,"Steven Spielberg directed this powerful, realistic re-creation of WWII's D-day invasion and the immediate aftermath. The story opens with a prologue in which a veteran brings his family to the American cemetery at Normandy, and a flashback then joins Capt. John Miller (Tom Hanks) and GIs in a landing craft making the June 6, 1944, approach to Omaha Beach to face devastating German artillery fire. This mass slaughter of American soldiers is depicted in a compelling, unforgettable 24-minute sequence. Miller's men slowly move forward to finally take a concrete pillbox. On the beach littered with bodies is one with the name ""Ryan"" stenciled on his backpack. Army Chief of Staff Gen. George C. Marshall (Harve Presnell), learning that three Ryan brothers from the same family have all been killed in a single week, requests that the surviving brother, Pvt. James Ryan (Matt Damon), be located and brought back to the United States. Capt. Miller gets the assignment, and he chooses a translator, Cpl. Upham (Jeremy Davis), skilled in language but not in combat, to join his squad of right-hand man Sgt. Horvath (Tom Sizemore), plus privates Mellish (Adam Goldberg), Medic Wade (Giovanni Ribisi), cynical Reiben (Edward Burns) from Brooklyn, Italian-American Caparzo (Vin Diesel), and religious Southerner Jackson (Barry Pepper), an ace sharpshooter who calls on the Lord while taking aim. Having previously experienced action in Italy and North Africa, the close-knit squad sets out through areas still thick with Nazis. After they lose one man in a skirmish at a bombed village, some in the group begin to question the logic of losing more lives to save a single soldier. The film's historical consultant is Stephen E. Ambrose, and the incident is based on a true occurance in Ambrose's 1994 bestseller D-Day: June 6, 1944.",170,10,R,"['Tom Hanks', 'Tom Sizemore', 'Matt Damon', 'Edward Burns', 'Barry Pepper', 'Adam Goldberg', 'Vin Diesel', 'Giovanni Ribisi', 'Jeremy Davies', 'Ted Danson', 'Paul Giamatti', 'Dennis Farina', 'Joerg Stadler', 'Max Martini', 'Dylan Bruno', 'Daniel Cerqueira', 'Demetri Goritsas', 'Ian Porter', 'Gary Sefton', 'Julian Spencer', 'Steve Griffin', 'William Marsh', 'Marc Cass', 'Markus Napier', 'Neil Finnighan', 'Peter Miles', 'Paul Garcia', 'Seamus McQuade', 'Ronald Longridge', 'Adam Shaw', 'Rolf Saxon', 'Corey Johnson', 'Loclann Aiken', 'John Barnett', 'MacLean Burke', 'Victor Burke', 'Aiden Condron', 'Paschal Friel', 'Shane Hagan', 'Paul Hickey', 'Shane Johnson', 'Laird MacIntosh', 'Brian Maynard', 'Martin McDougall', 'Mark Phillips', 'Lee Rosen', 'Andrew Scott', 'Matthew Sharp', 'Vincent Walsh', 'Grahame Wood', 'John Sharian', 'Glenn Wrage', 'Crofton Hardester', 'Martin Hub', 'Raph Taylor', 'Nigel Whitmey', 'Sam Ellis', 'Erich Redman', 'Tilo Keiner', 'Stephan Cornicard', 'Michelle Evans', 'Martin Beaton', 'Anna Maguire', 'Nathan Fillion', 'Leland Orser', 'Michael Mantas', 'David Vegh', 'Ryan Hurst', 'Nick Brooks', 'Sam Scudder', 'John Walters', 'Dorothy Grumbar', 'James Innes-Smith', 'Harve Presnell', 'Dale Dye', 'Bryan Cranston', 'David Wohl', 'Eric Loren', 'Valerie Colgan', 'Amanda Boxer', 'Harrison Young', 'Kathleen Byron', 'Rob Freeman', 'Thomas Gizbert', 'Ed Burns', 'Raffaello DeGruttola', 'Stephan Grothgar', 'Stephane Cornicard', 'Tom Siezemore', 'Adam Goldbreg', 'Adam F. Goldberg', 'Jorg Stadler']","['Steven Spielberg', 'Ian Bryce', 'Mark Gordon', 'Gary Levinsohn']","['Drama', 'Action', 'Adventure', 'War']",['United States'],"['Heroic Mission', 'Behind Enemy Lines', 'Military Life', 'Obsessive Quests', 'War At Sea']","['Graphic Violence', 'Not For Children', 'Profanity', 'War Violence', 'Watch With Your Teen']"
406,The Little Foxes,1941,"Playwright Lillian Hellman first wrote of the horrible Hubbard family in her 1939 play The Little Foxes. In this lavish 1941 film version, Bette Davis takes over for Broadway's Tallulah Bankhead in the role of conniving turn-of-the-century Southern aristocrat Regina Hubbard Giddens. Regina's equally odious brothers (Charles Dingle and Carl Benton Reid) want her to lend them 75,000 dollars to help build a cotton mill. To do this, she must make peace with her long-estranged husband, Horace (Herbert Marshall) -- and failing that, she tries to arrange a wealthy marriage between her daughter, Alexandra (Teresa Wright), and her slimy nephew Leo (Dan Duryea). Horace refuses to give Regina the money, whereupon Leo is pressured by his father (Reid) to steal bonds from the family business. Regina uses this information as a means of blackmailing her brothers for a share in the new mill. In retaliation, Horace claims that he gave Leo the bonds as a loan, thereby cutting Regina out of the deal. When Horace suffers a heart attack, Regina makes no effort to give him his medicine, and he dies without revealing his willingness to loan the money to Leo. Regina is thus still able to strongarm her brothers into giving her a piece of the mill -- but the price for her evil machinations is the loss of her daughter's love and respect. The Little Foxes caused a censorship stir in 1941; by refusing to give Horace his medicine, Regina technically gets away with murder. However, the censors decided that Regina was punished enough when her daughter left her to marry an honest newspaperman (Richard Carlson). Given the usual Tiffany treatment by producer Sam Goldwyn, The Little Foxes was a success; several years later, Lillian Hellman wrote a ""prequel"" to The Little Foxes, titled Another Part of the Forest.",115,9,NR,"['Bette Davis', 'Herbert Marshall', 'Teresa Wright', 'Richard Carlson', 'Patricia Collinge', 'Dan Duryea', 'Charles Dingle', 'Carl Benton Reid', 'Jessie Grayson', 'John Marriott', 'Russell Hicks', 'Lucien Littlefield', 'Virginia Brissac', 'Terry Nibert', 'Alan Bridge', 'Charles Moore', 'Al Bridge', 'Kenny Washington', 'Lew Kelly', 'Henry Roquemore', 'Hooper Atchley', 'Henry Thomas']",['William Wyler'],"['Drama', 'Crime', 'Romance']",['United States'],"['Mothers and Daughters', 'Sibling Relationships', 'Blackmail']",['Adult Situations']
407,Videodrome,1983,"Hardcore pornography, sadomasochism, mind control, and living televisions all play crucial roles in Videodrome, one of director David Cronenberg's explorations of dangerous sexuality and technological obsession. The morally questionable hero of the tale is one Max Renn (James Woods), a television executive searching for an intense new program for his sex-oriented network. He ultimately discovers an underground program called ""Videodrome,"" which appears to broadcast pornographic snuff films of actual murders. Horrified but perversely intrigued, Renn sets out to find the truth behind the program. During his search, he meets alluring femme fatale Nicki (Blondie lead singer Debbie Harry), technology cult leader Bianca O'Blivion, and other mysterious figures. Things become even more disturbing for Renn as his addiction grows, and the program begins to infect the outside world -- or perhaps merely destroy own his sanity.  Cronenberg mingles his cerebral concerns about the nature of reality in the video age with enough visceral gore (courtesy of Rick Baker) to satisfy the film's intended horror audience.",88,9,R,"['James Woods', 'Sonja Smits', 'Deborah Harry', 'Peter Dvorsky', 'Les Carlson', 'Jack Creley', 'Lynne Gorman', 'Julie Khaner', 'Reiner Schwarz', 'David Bolt', 'Lally Cadeau', 'Sam Malkin', 'Bob Church', 'Jayne Eastwood', 'Franciszka Hedland', 'Harvey Chao', 'David Tsubouchi', 'Henry Gomez', 'Kay Hawtrey', 'Reiner Schwartz', 'Leslie Carlson', 'Kay Hawtry']",['David Cronenberg'],"['Mystery', 'Drama', 'Thriller', 'Horror', 'Science Fiction']","['Canada', 'United States']","['Mind Games', 'Technology Run Amok', 'Virtual Reality', 'Voyeurs']","['Adult Language', 'Adult Situations', 'Gore', 'Not For Children', 'Nudity', 'Profanity', 'Strong Sexual Content', 'Violence']"
408,Masked Raiders,1949,"Texas Rangers Tim Holt and Richard Martin are dispatched to halt a gang of masked outlaws terrorizing the frontier. Infiltrating the gang, Holt and Martin learn that the raiders are operating altruistically, robbing from the rich to give to the poor. The real villain, it seems, is the local banker (Frank Wilcox), who is mortgaging the local ranchers out of existence. Holt convinces masked-raider leader Marjorie Lord that it's best to let the law take his course, then rides out to bring the banker to task for his misdeeds. Masked Raiders moves along with the smooth expertise audiences of 1949 had come to expect from RKO's Tim Holt western series.",60,8,NR,"['Tim Holt', 'Richard Martin', 'Marjorie Lord', 'Tom Tyler', 'Gary Gray', 'Harry Woods', 'Frank Wilcox', 'Charles Arnt', 'Houseley Stevenson', 'Clayton Moore', 'Bill George']",['Lesley Selander'],['Western'],['United States'],"['Ranchers', 'Vigilantes', 'Sheriffs and Outlaws']",['Suitable for Children']
409,Captain Marvel,2019,"Directed by Anna Boden and Ryan Fleck, a female Air Force pilot, Carol Danvers (Brie Larson), experiences a freak accident, leaving her with dynamic superpowers. After teaming up with a fellow superpower yielder, Nick Fury (Samuel.L Jackson), the two launch a scheme to stop a war that threatens Earth and its inhabitants.",123,8,PG13,"['Brie Larson', 'Samuel L. Jackson', 'Gemma Chan', 'Lee Pace', 'Ben Mendelsohn', 'Jude Law', 'Mckenna Grace', 'Annette Bening', 'Djimon Hounsou', 'Rune Temte', 'Colin Ford', 'Clark Gregg', 'Chuku Modu', 'Lashana Lynch', 'Robert Kazinsky', 'Kenneth Mitchell', 'Bethany Levy', 'Loek Peters', 'Ana Ayora', 'Abigaille Ozrey', 'Marilyn Brett', 'Patrick Gallagher', 'Akira Akbar', 'Algenis Perez Soto', 'Matthew Maher', 'Matthew Bellows', 'Andre Franco', 'Emily Ozrey', 'Gil De St. Jeor', 'London Fuller', 'Gaston Dalmau', 'Patrick Brennan', 'Amielynn Abellera', 'Connor Ryan', 'Jeff Bragg', 'Mark Daugherty', 'Callie Rose Deets', 'Gaige Chaturantabut', 'Adam Hart', 'Tony Taboada', 'Jacob Figueroa', 'Amir Abdalla', ""Vinny O'Brien"", 'Joey Courteau', ""Damon O'Daniel"", 'Rayniel Rufino', 'DJ Jenkins', 'James Hatten', 'Robert Lee Anderson', 'John Gettier', 'Eddy Rome', 'Jay Arthur', 'DaJuan Rippy', 'Kevin M. Kelly', 'Vik Sahay', 'Stephen A. Chang', 'Pete Ploszek', 'Diana Toshiko', 'Barry Curtis', 'James Morrison', 'Anthony Molinari', 'Mel Powell', 'Sharon Blynn', 'Richard Zeringue', 'Nelson Franklin', 'Duane Henry', 'Stanley Wong', 'Auden L. Ophuls', 'Harriet L. Ophuls', 'Matthew ""Spider"" Kimmel', 'Stephen ""Cajun"" DelBagno', 'Lyonetta Flowers', 'Rufus Flowers']","['Ryan Fleck', 'Anna Boden']","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",['United States'],"['Evil Aliens', 'Haunted By the Past', 'Heroic Mission', 'Protecting the Innocent']","['Profanity', 'Sci-Fi Violence']"
410,Big,1988,"More than anything else, 13-year old New Jerseyite Josh (David Moscow) wants to be ""big"". That's the wish he makes at an odd-looking amusement pier fortunetelling machine. The next morning, Josh wakes up-only to discover that he's grown to manhood overnight! (At this point, the part is taken over by Tom Hanks). Still a 13-year-old mentally and emotionally, Josh decides to hide out in New York City until he can figure out what to do next. He lucks into a job with a major toy company run by kid-at-heart McMillan (Robert Loggia). By cannily bringing a child's eye view to McMillan's business, Josh rises to the top-and in process, he falls in love with fellow employee Susan (Elizabeth Perkins). But he's still a kid, and he'd like to go back to his own world and own body. Written by Gary Ross and Anne Spielberg, Big proved a crucial success for budding director Penny Marshall, who'd work harmoniously with Hanks again on the radically different A League of Their Own. The cinematography was by Barry Sonenfeld, who went on to become a director himself with The Addams Family. That Big was heavily reliant upon the input of Tom Hanks and Penny Marshall was proven by the failed attempt to turn the property into a Broadway musical.",102,10,PG,"['Tom Hanks', 'Elizabeth Perkins', 'Robert Loggia', 'John Heard', 'Jared Rushton', 'David Moscow', 'Jon Lovitz', 'Mercedes Ruehl', 'Josh Clark', 'Kimberlee M. Davis', 'Oliver Block', 'Erika Katz', 'Allan Wasserman', 'Mark Ballou', 'Gary Howard Klar', 'Alec von Sommer', 'Chris Dowden', 'Rockets Redglare', 'Paul Herman', 'Nancy Giles', 'Jordan Thaler', 'Dana Kaminski', 'Harvey Miller', 'Tracy Reiner', 'James Eckhouse', 'Linda Gillen', 'Mildred R. Vandever', 'Jamie Tirelli', 'Jon Levita', 'Kevin Meaney', 'Peter McRobbie', 'Paul L.Q. Lee', 'Debra Jo Rupp', 'Lela Ivey', 'Dolores Messina', 'Gordon Press', 'George J. Manos', 'Vinny Capone', 'Susan Wilder', 'John Rothman', 'Judd Trichter', 'Pasquale Pugliese', 'Edward Schick', 'Samantha Larkin', 'Bruce Jarchow', 'Vaughn Sandman', 'Keith Reddin', 'Jamie Tirelli']",['Penny Marshall'],"['Comedy', 'Fantasy', 'Drama']",['United States'],"['Wishes Come True', 'Age Disparity Romance', 'Fish Out of Water', 'Arrested Adolescence', 'Fantasy Life', 'Looking For Love', 'Twentysomething Life', 'Finding a Way Back Home']","['Adult Language', 'Adult Situations', 'Watch With Your Kids']"
411,First Reformed,2018,"The pastor (Ethan Hawke) of a small church in New York with dwindling attendance gets a call from a pregnant parishioner (Amanda Seyfried) begging for help with her extremely radical husband. After getting involved, the pastor loses control of every aspect of his life. Michael Gaston, Cedric the Entertainer and Victoria Hill also star. Written and directed by Paul Schrader.",113,9,R,"['Ethan Hawke', 'Amanda Seyfried', 'Cedric the Entertainer', 'Michael Gaston', 'Van Hansis', 'Philip Ettinger', 'Gary Lee Mahmoud', 'Kristin Villanueva', 'Krystina Alabado', 'Elanna White', 'Michael Metta', 'Ronald Peet', 'Frank Rodriguez', 'Delano Montgomery', 'Bill Hoag', 'Satchell Eden Bell', 'Jon Rua', 'Frankie Verroca', 'Mahaleia Gray', 'Victoria Hill', 'Ken Forman', 'Christopher Dylan White', 'Sue Jean Kim', 'Tyler Bourke', 'Natalie Woolams-Torres', 'Otis Edward Cotton', 'Erica Fae', 'Prudence Wright Holmes', 'Juliet Schlefer']",['Paul Schrader'],"['Mystery', 'Drama', 'Thriller']","['Australia', 'United Kingdom', 'United States']","['Death of a Child', 'Members of the Clergy']",['Violence']
412,A Master Builder,2014,"In this update on Henrik Ibsen's classic play, a megalomaniacal architect seeks to make amends with his wife, children, mistress and employees after a lifetime of abusive behavior and selfishness.",130,9,NR,"['André Gregory', 'Julie Hagerty', 'Wallace Shawn', 'Lisa Joyce', 'Larry Pine', 'Emily Cass McDonnell', 'Jeff Biehl', 'Winsome Brown', 'Marjorie Graham', 'Joanna Howard', 'Sheilach Weymouth', 'Sheilagh Weymouth']",['Jonathan Demme'],"['Drama', 'Crime']",['United States'],"['Existential Crisis', 'Facing Death']","['Adult Situations', 'Profanity', 'Questionable for Children']"
413,Compliance,2011,"Inspired by actual events, writer/director Craig Zobel's sophomore feature Compliance examines the complex hierarchy of authority through the experiences of a teenage fast-food restaurant clerk who falls victim to a twisted practical joke. Becky (Dreama Walker) is doing her best to get through another tough shift when a man claiming to be a police officer calls to speak with her stressed-out manager Sandra (Ann Dowd). According to the man on the phone, Becky has just stolen money from a customer, and likely still has the cash on her person. When Becky denies any wrongdoing, the man on the phone insists that Sandra detain the frightened girl in the back room of the restaurant, an action that sets into motion a shocking sequence of events.",90,8,R,"['Ann Dowd', 'Dreama Walker', 'Pat Healy', 'Bill Camp', 'Philip Ettinger', 'Ashlie Atkinson', 'James McCaffrey', 'Matt Servitto', 'Nikiya Mathis', 'Ralph Rodríguez', 'Stephen Payne', 'Amelia Fowler', 'John Merolla', 'Desmin Borges', 'Matt Skibiak', 'Maren McKee', 'Raymond McAnally', 'George Asatrian', 'Rebecca Henderson', 'Jeffrey Grover']",['Craig Zobel'],"['Horror', 'Drama', 'Thriller']",['United States'],"['Cons and Scams', 'Miscarriage of Justice', 'Trapped or Confined']","['Adult Situations', 'Nudity', 'Profanity', 'Sexual Situations']"
414,Sorry to Bother You,2018,"In this satirical comedy, a black telemarketer's prowess as a salesman skyrockets when he adopts a ""white voice."" As he scales the corporate ladder, his personal loyalties, his activist girlfriend and his CEO's questionable ethics prompt him to examine his conscience. Starring LaKeith Stanfield, Tessa Thompson, Armie Hammer, Terry Crews, and Steven Yeun. Directed by Boots Riley.",105,8,R,"['Lakeith Lee Stanfield', 'Tessa Thompson', 'Armie Hammer', 'Terry Crews', 'Steven Yeun', 'Omari Hardwick', 'Jermaine Fowler', 'Danny Glover', 'Kate Berlant', 'Michael X. Sommers', 'Robert Longstreet', 'Shelley Mitchell', 'Jerry McDaniel', 'Indigo Jackson', 'Eric Jacobus', 'Elaine Clark', 'Mistah FAB', 'Valerie Garrahan', 'Chad Briggs', 'Ken Baggott', 'David Fine', 'Damion Gallegos', 'Michael Rhys Kan', 'Molly Brady', 'Nato Green', 'W. Kamau Bell', 'Safiya Fredericks', 'Terel Gibson', 'Lyrics Born', 'Thessaly Lerner', 'Ken Gamble', 'Keneice Ford', 'Gina Madrid', 'Spy Emerson', 'Silk E', 'Jacinta Kaumbulu', 'Sara Melekova', 'Annie Chen', 'Akilah Walker', 'Akia Greybill', 'Makiah Green', 'Lon Muckey', 'Garth Winkless', 'Tom Woodruff Jr.', 'Elaine A. Clark', 'Mistah F.A.B.', 'Val Garrahan', 'David Cross', 'Patton Oswalt', 'Lily James', 'Forest Whitaker', 'Rosario Dawson', 'Sara Buskirk', 'Gabby La La', 'Lakeith  Stanfield']",['Boots'],"['Fantasy', 'Comedy']",['United States'],"['Assumed Identities', 'Big Break', 'Double Life', 'Journey of Self-Discovery', ""Men's Friendship"", 'Schemes and Ruses', 'Starting Over']",[]
415,An American in Paris,1951,"Gene Kelly does his patented Pal Joey bit as Jerry Mulligan, an opportunistic American painter living in Paris' ""starving artists"" colony. He is discovered by wealthy Milo Roberts (Nina Foch), who becomes Jerry's patroness in more ways than one. Meanwhile, Jerry plays hookey on this setup by romancing waif-like Lise Bouvier (Leslie Caron) -- who, unbeknownst to him, is the object of the affections of his close friend Henri (Georges Guetary), a popular nightclub performer. (The film was supposed to make Guetary into ""the New Chevalier."" It didn't.) The thinnish plot is held together by the superlative production numbers and by the recycling of several vintage George Gershwin tunes, including ""I Got Rhythm,"" ""'S Wonderful,"" and ""Our Love Is Here to Stay."" Highlights include Guetary's rendition of ""Stairway to Paradise""; Oscar Levant's fantasy of conducting and performing Gershwin's ""Concerto in F"" (Levant also appears as every member of the orchestra); and the closing 17-minute ""American in Paris"" ballet, in which Kelly and Caron dance before lavish backgrounds based on the works of famed French artists.",115,10,NR,"['Gene Kelly', 'Leslie Caron', 'Oscar Levant', 'Nina Foch', 'Eugene Borden', 'Martha Bamattre', 'Ann Codee', 'George Davis', 'Mary Jones', 'Hayden Rorke', 'Paul Maxey', 'Dick Wessel', 'Georges Guétary', 'Robert Ames', 'Larry Arnold', 'Felice Basso', 'Charles Bastin', 'Marie Antoinette Andrews', 'Madge Blake', 'Nan Boardman', 'Ann Brendon', 'Jon Gardner', 'Joan Anderson', 'Joan Bayley', 'Rodney Bieber', 'Ralph Blum', 'Dino Bolognese', 'Peter Camlin', 'Benny Carter', 'Monique Chantal', 'Mary Young', 'Andre Charisse', 'Art Dupuis', 'John Eldredge', 'Jeanne Lafayette', 'Greg McClure', 'Noel Neill', 'Anna Q. Nilsson', 'Alfred Paix', 'Don Quinn', 'Alex Romero', 'Maurice Chevalier', 'Louis Jourdan', 'Hermione Gingold', 'Eva Gabor', 'Georges Guetary']",['Vincente Minnelli'],"['Comedy', 'Drama', 'Musical', 'Romance', 'War']",['United States'],"['Americans Abroad', 'Love Triangles', 'Life in the Arts']",['Suitable for Children']
416,Dead Ringers,1988,"Two twin brothers, both renowned gynecologists, descend into madness after becoming romantically involved with the same woman in this disturbing, horrific drama. Jeremy Irons delivers a bravura performance as both Beverly and Elliot Mantle, Toronto-based surgeons who operate an exclusive gynecological clinic and share a reputation as brilliant innovators. They also share lovers, as the more aggressive, confident Elliott seduces women and later secretly allows the shier, more intellectual Beverly to reap the benefits. This arrangement is disturbed when Beverly falls in love with their newest conquest, Claire Niveau (Genevieve Bujold), a famous actress with an unusual gynecological deformity. Beverly's relationship with the hard-living Claire leads to him to turn away from Elliot and begin a dangerous involvement with drugs and alcohol. Elliot senses his brother's rapid decline into addiction and paranoia and attempts to save him, only to start falling victim to the same urges. Director David Cronenberg adapted the loosely fact-based tale to his own creepy purposes, tapping into primal fears regarding the uncanniness of twins and male sexual panic. His notorious gore was used sparingly here, however, with the film's most disturbing moments coming through suggestion, as in the display of a group of terrifying surgical instruments created by Beverly in his madness. Cronenberg's expertise with special effects proves crucial, however, as he and his regular cinematographer Peter Suschitzsky seamlessly combine Irons' two performances in a manner unrivalled by any previous depiction of twins. This visual achievement is more than matched by Irons, who delivers what may be his career performance, delineating the twins' differences and similarities and embodying their collapse in frighteningly believable fashion. The subject matter and chilly tone may be too intense for some viewers, but the brilliant central performance and intellectually provocative approach will prove thoroughly absorbing for others.",115,9,R,"['Jeremy Irons', 'Heidi Von Palleske', 'Barbara Gordon', 'Shirley Douglas', 'Stephen Lack', 'Nick Nichols', 'Lynn Cormack', 'Damir Andrei', 'Miriam Newhouse', 'David Hughes', 'Richard W. Farrell', 'Warren Davis', 'Jonathan Haley', 'Nicholas Haley', 'Marsha Moreau', 'Denis Akiyama', 'Dee McCafferty', 'Susan Markle', 'Murray Chuchley', 'Jane Luk', 'Tita Trevisan', 'Jacqueline Hennessy', 'Jill Hennessy', 'David Walden', 'Liliane Stillwell', 'Denise McLeod', 'Bob Bainborough', 'Nicholas Rice', 'Joe Matheson', 'Hadley Kay', 'Cynthia Eastman', 'Nora Colpman', 'Madeleine Atkinson', 'John Bayliss', 'Graham Evans', 'Time Winters', 'Geneviève Bujold', 'Rina Polley', 'Lynne Cormack', 'Nick Rice', 'David A. Hughes']",['David Cronenberg'],"['Comedy', 'Horror', 'Thriller']","['Canada', 'United States']","['Twins and Lookalikes', 'Drug Addiction', 'Sibling Relationships']","['Adult Language', 'Adult Situations', 'Not For Children', 'Nudity', 'Profanity', 'Strong Sexual Content', 'Violence']"
417,Rancho Notorious,1952,"The original title for Rancho Notorious was Chuck-a-Luck, which is also the title of the soundtrack ballad (written by Ken Darby) which unifies the plotline, à la High Noon. Frontiersman Vern Haskell (Arthur Kennedy) wanders throughout the West in search of the man who robbed and murdered his fiancée. He is told that he'll probably find the culprits at Chuck-a-Luck, a combination horse ranch and criminal hideout overseen by saloon chanteuse Altar Keane (Marlene Dietrich). To gain entrance to Chuck-a-Luck, Haskell poses as an escaped prisoner. Keane warns him that the ranch has only one rule: ""Don't ask questions."" Still, he has ways of finding things out. Haskell is compelled to keep up his charade when the dirty denizens of Chuck-a-Luck plan a big bank holdup, but this has the result of exposing the killer of his girl. Director Fritz Lang had a rough time with RKO head Howard R. Hughes, who insisted upon making changes in the film that might have hurt it irreparably. The biggest argument centered over the title; Hughes complained that no one overseas would understand the meaning of Chuck-a-Luck, whereupon Lang riposted sarcastically that ""I'm sure that everyone will understand Rancho Notorious."" One of the principal villains was Lloyd Gough, but you'd never know it from the opening titles; Hughes, incensed that Gough had refused to testify at the HUAC ""witch hunt,"" ordered that the blacklisted Gough's name be removed from the credits.",89,8,NR,"['Marlene Dietrich', 'Mel Ferrer', 'Arthur Kennedy', 'William Frawley', 'Lloyd Gough', 'Gloria Henry', 'Lisa Ferraday', 'Jack Elam', 'George Reeves', 'Frank Ferguson', 'John Raven', 'Francis McDonald', 'Dan Seymour', 'John Kellogg', 'Rodd Redwing', 'Stuart Randall', 'Roger Anderson', 'Charles Gonzalez', 'Felipe Turich', 'Joe Dominguez', 'I. Stanford Jolley', 'John Doucette', 'Charlita', 'Ralph Sanford', 'Lane Chandler', 'Fuzzy Knight', 'Fred Graham', 'Dick Wessel', 'Dick Elliott', 'William Haade', 'Victor Adamson', 'Ray Beltram', 'Stanley Blystone', 'John Breen', 'Edgar Dearing', 'Art Felix']",['Fritz Lang'],"['Western', 'Action', 'Adventure', 'Drama', 'Romance']",['United States'],"['Vigilantes', 'Lone Wolves', 'Obsessive Quests']","['Adult Situations', 'Questionable for Children', 'Violence']"
